,Text
0,chúc mừng 2 e nha
1,"Đang lướt cmt zui tới mấy cái lấy chồng đi là ứa. Vô duyên vl tưởng hài hước dữ lắm.',"
2,Cảm ơn anh đã bảo vệ pn 🥰
3,Không dám nói cho cha mẹ mình sợ họ sẽ đuổi mình ra khỏi nhà :(
4,em sợ ánh mắt của họ khi nhìn em
5,"nói ntn bây h , phần đông các bạn nữ sẽ đc yêu chiều hơn và muốn làm phái yếu , thì tự động đàn ông sẽ nghĩ mình phải có trách nhiệm nên ra v"
6,Tui Ủng Hộ LGBT Ở việt Nam
7,hình như cái người nói không bh có đặt mình vào vị trí của người bị nói
8,tui là LGBT nè
9,Lại đánh tráo khái niệm. Xu hướng sống độc lập độc thân hoặc chỉ thích nữ đồng giới khác với nữ quyền độc hại xem thường vai trò của đàn ông 😫
10,"mẹ biet không ""con rất là tuổi thân đó"""
11,"tui chính ra thích người đàn ông có chuyện gì sẽ về tâm sự với vợ, khóc cũng được buồn cũng được miễn sao đừng giữ trong lòng rồi lúc nào cũng bực tức"
12,"Chuẩn vcl. Đàn ông mặc váy. Đáng sợ thật.',"
13,"Chả làm l ưu tiên người già vì họ là ngưởi yếu thế, ưu tiên người già vì sau này mk cũng già thôi,"
14,xinh quá chị oiiiiiiii
15,Chính ra ai lấy bạn này rất an nhàn đi làm cả ngày cơm ăn 3 bữa k chơi bời tụ tập gì
16,@baotram8105 tối qua tao mới bị mẹ tao vs chị 2 tao chọc kiểu z😌 còn nói xấu tao
17,tui con trai còn ko biến đến ngày này luôn á
18,Bảo sao bật Bản nhiều boylove
19,"vãi ò ,sang Công nghiệp trai full cứng nhé"
20,mn đã bao giờ yêu 1 ng mà bị gđ của họ ngăn cắm chỉ vì là LGBT chưa??  thực sự rất đâu lòngg😌  ❤🏳️‍🌈 
21,t là lgbt...
22,"k phải nhiều khi mà là hoàn toàn uô',"
23,"từ khi bầu đến bh con 9thang r.ck chưa cho 1 đồng. đi viện 1 tháng bme ck cũng k cho
 . con đc 6 tháng tự nuôi con vẫn bị ck và bme ck nghẻ lanh coi th"
24,🫵🫵🫵🫵💀💀💀
25,cái độc hại ở đây là cái video này đó
26,come ao là giống như bạn thích một người cùng giới tính và bạn sẽ nói với người thân hoặc gđ á bạn
27,"2 vk ck t ở quê, tháng kiếm trung bình 20tr, chi trả các chi phí với nuôi 1 con nhỏ,ko để ra đc đồng nào,mà mẹ ck t vẫn bảo làm ăn kiểu gì mà chả có"
28,"may quá, mình là cross 😁"
29,@vanhvanh2600 @vienvien @Như Ngô nhã vía nhiệt tình cho 3 đứa em ế của toyyyy
30,ai rảnh đâu kì thị.chẳng qua do bọn nó làm gì nên người ta ghét thôi.
31,người ta có nói hay gì ảnh hưởng bạn a. mà bạn phải bận tâm
32,thua mấy ông straight thượng đẳng luôn 😑
33,Nhiều người nghiệp ghê
34,"Hiếu VG k kì thị bê đê đâu yên tâm',"
35,@apamsauciu 13t
36,T ở k.nhưg chưa bjo ck giám coi thường t.đàn ông hơn nhau ở chỗ đấy.t đẻ con.nuôi con.chăm sóc.mở mồm ra t chửi ngay.bà đây còn chưa lấy lương cơ đấy
37,bọn bạn tui cứ bị sao sao ấy mặc dù nó ko phải LGBT nhưng cứ tỏ ra là LGBT
38,Anh nói rất đúng 🥰
39,ai cũng có quyền đc yêu cả ko ngăn cách đc tình yêu 💗💖🌷
40,"k ai bắt các bạn trả :))
 K muốn trả, tiếc tiền thì thôi, nói sớm để con gái nhà ngta còn bt đường mà né :)))"
41,Quyền lợi của ngta :)) LGBT đâu bắt buộc phải đc mọi người công nhận ?
42,Thương ghê huhu
43,Longg Hoàng Lee dạ cỵ sì trâu'
44,"ah thấy sao khi quen 1người 2008 người 2006
 2k8 công . 2k6 thụ 😢"
45,ủa rồi cưới chưa mà đẻ đang quen mà?
46,"Xuất thân từ đâu ko quan trọng,quan trọng giờ bạn ngồi ở đâu ?',"
47,katy perry i đát du
48,"Thời của t tới rồi :))))',"
49,suy nghĩ chưa thấu đáo mà ai cho lên truyền hình zị? Nghe tới đoạn đứa con tao tức ghê?? Chỉ thấy lấy cớ để chống lại gđ thôi ? :D
50,Đàn ông nên sạch sẽ biết chăm sóc bản thân và chăm lo yêu thương gia đình vợ con đó mới là đàn ông còn mấy anh rượubia quánhiều bốcmùi còn kobt chămlo
51,"Igbt ở TP đã khổ, ở quê còn khổ hơn :(("
52,"Người ta bê vậy đó mà cũng có thằng chó nó dê sờ đéo đx r nó hổ báo à',"
53,"tui luôn ủng hộ các bạn dám come out dám sống thật với bản thân mình , các bạn đó rất giỏi bạn bè mình cũng thế ngta biết cố gắng để bản thân hoàn hảo tất cả 🥰"
54,không phải đâu bn ơi số trận nhà một cháu một con thì phải chịu ko thể quyết định
55,t với bff t đag yêu nhau=)))((
56,Tội cho cô gái đó quá🥺
57,Đoạn này hôm qua cắt hay ý k đc xem
58,"Hên quá gu đờn ông của mình là phải xinh như con gái chứ ko phải thằng này',"
59,"Gặp long chun ngoài đời tính cách rất dễ thương',"
60,chán :)
61,Lại có trò mới 🤭
62,"Page có thể edit lại dấu chấm, phẩy trong bài phát dc không ạ?',"
63,pl chi ba mẹ mik cx đc như z
